run_id,prediction_date,as_of_date,model,rank,feature,value,contribution,p_up,p_down
20260917T115711_30dd05af4a40,2026-09-18,2026-09-17,No macro ensemble,1,us10y_level_z60,2.386249542236328,-0.1724400951040261,0.2774314662893329,0.339939012762507
20260917T115711_30dd05af4a40,2026-09-18,2026-09-17,No macro ensemble,2,micron_ret_5,-0.0984850972890853,-0.1604709148780751,0.2774314662893329,0.339939012762507
20260917T115711_30dd05af4a40,2026-09-18,2026-09-17,No macro ensemble,3,sam_ret_5,-0.0582838654518127,0.0969680633208051,0.2774314662893329,0.339939012762507
20260917T115711_30dd05af4a40,2026-09-18,2026-09-17,No macro ensemble,4,micron_ret_1,-0.0011319405166432,-0.0872014364202083,0.2774314662893329,0.339939012762507
20260917T115711_30dd05af4a40,2026-09-18,2026-09-17,No macro ensemble,5,sox_ret_1,0.0063138324767351,0.0618576279780928,0.2774314662893329,0.339939012762507
20260918T114151_6d19218b8e9b,2026-09-21,2026-09-18,No macro ensemble,1,micron_ret_1,0.0549889504909515,0.5495692064655473,0.4441349150762717,0.174882930984054
20260918T114151_6d19218b8e9b,2026-09-21,2026-09-18,No macro ensemble,2,sox_ret_1,0.0314224101603031,0.1339773072447577,0.4441349150762717,0.174882930984054
20260918T114151_6d19218b8e9b,2026-09-21,2026-09-18,No macro ensemble,3,sam_ret_1,0.0641833841800689,-0.1338584818682686,0.4441349150762717,0.174882930984054
20260918T114151_6d19218b8e9b,2026-09-21,2026-09-18,No macro ensemble,4,sp500_ret_1,0.0113813383504748,0.0778133712223995,0.4441349150762717,0.174882930984054
20260918T114151_6d19218b8e9b,2026-09-21,2026-09-18,No macro ensemble,5,us10y_level_z60,1.8903356790542605,-0.0456777422470625,0.4441349150762717,0.174882930984054
20260921T101137_084f9135aca7,2026-09-22,2026-09-21,No macro ensemble,1,micron_ret_1,0.0391815751791,0.4229944759031595,0.4101389550844522,0.2458575516251129
20260921T101137_084f9135aca7,2026-09-22,2026-09-21,No macro ensemble,2,micron_ret_5,0.0415683798491954,0.0984131822117807,0.4101389550844522,0.2458575516251129
20260921T101137_084f9135aca7,2026-09-22,2026-09-21,No macro ensemble,3,sox_ret_1,0.027777099981904,0.0648255760038319,0.4101389550844522,0.2458575516251129
20260921T101137_084f9135aca7,2026-09-22,2026-09-21,No macro ensemble,4,us10y_level_z60,2.137770414352417,-0.0517297293500174,0.4101389550844522,0.2458575516251129
20260921T101137_084f9135aca7,2026-09-22,2026-09-21,No macro ensemble,5,us10y_ret_1,0.0103092780336737,-0.0477946313708849,0.4101389550844522,0.2458575516251129
20260922T093551_9255c7a9a2b6,2026-09-23,2026-09-22,No macro ensemble,1,micron_ret_1,0.0277219656854867,0.3003878017527125,0.5953234425729855,0.1473489844318805
20260922T093551_9255c7a9a2b6,2026-09-23,2026-09-22,No macro ensemble,2,micron_ret_5,0.1297900825738906,0.135803242800186,0.5953234425729855,0.1473489844318805
20260922T093551_9255c7a9a2b6,2026-09-23,2026-09-22,No macro ensemble,3,sox_ret_1,0.0429032705724239,0.1019691260762591,0.5953234425729855,0.1473489844318805
20260922T093551_9255c7a9a2b6,2026-09-23,2026-09-22,No macro ensemble,4,dxy_ret_1,0.0020953800994902,-0.0801681402356338,0.5953234425729855,0.1473489844318805
20260922T093551_9255c7a9a2b6,2026-09-23,2026-09-22,No macro ensemble,5,sam_range_1,0.0559782609343528,0.0794416161042008,0.5953234425729855,0.1473489844318805
20260923T115424_63214cbd9661,2026-09-28,2026-09-23,No macro ensemble,1,micron_ret_1,0.0277219656854867,0.34168982264229,0.56718975123436,0.1794880170638624
20260923T115424_63214cbd9661,2026-09-28,2026-09-23,No macro ensemble,2,micron_ret_5,0.1297900825738906,0.1395711088378657,0.56718975123436,0.1794880170638624
20260923T115424_63214cbd9661,2026-09-28,2026-09-23,No macro ensemble,3,sox_ret_1,0.0429032705724239,0.1148910751499229,0.56718975123436,0.1794880170638624
20260923T115424_63214cbd9661,2026-09-28,2026-09-23,No macro ensemble,4,dxy_ret_1,0.0020953800994902,-0.0793781115745072,0.56718975123436,0.1794880170638624
20260923T115424_63214cbd9661,2026-09-28,2026-09-23,No macro ensemble,5,sp500_ret_1,0.0149271544069051,0.0649100253847664,0.56718975123436,0.1794880170638624
