target,cell,horizon,comparison,metric,window,delta,common_n,calibrated,ci_lo,ci_hi,block
sk_hynix,1,1,conformal_w250 - current,interval_score,selection,0.00027534033042752367,476,True,-0.0004114668897892955,0.0010669506673220152,month
sk_hynix,1,1,conformal_w250 - current,interval_score,selection,0.00027534033042752367,476,True,-0.000274647620099712,0.0009478209385246902,contiguous_20
sk_hynix,1,1,conformal_w250 - current,interval_coverage,selection,-0.014705882352941124,476,True,-0.02772003079838904,-0.0020161290322581182,month
sk_hynix,1,1,trailing_q_w500 - current,interval_score,selection,-1.7953072961606513e-05,476,True,-0.0003172994147018671,0.0002675070400313528,month
sk_hynix,1,1,trailing_q_w500 - current,interval_score,selection,-1.7953072961606513e-05,476,True,-0.00029692254555837097,0.0002846809199178948,contiguous_20
sk_hynix,1,1,trailing_q_w500 - current,interval_coverage,selection,-0.018907563025210017,476,True,-0.029411764705882252,-0.010224948875255602,month
sk_hynix,1,1,conformal_w500 - current,interval_score,selection,-6.644537353250823e-06,476,True,-0.00027316624419274847,0.00023904186861393924,month
sk_hynix,1,1,conformal_w500 - current,interval_score,selection,-6.644537353250823e-06,476,True,-0.0002498120615604047,0.00025023103351627044,contiguous_20
sk_hynix,1,1,conformal_w500 - current,interval_coverage,selection,-0.012605042016806678,476,True,-0.02114164904862581,-0.004219409282700479,month
sk_hynix,1,1,aci_g0.005_w250 - current,interval_score,selection,0.0005538088808890729,476,True,-0.0002092598710688639,0.0014217276465892253,month
sk_hynix,1,1,aci_g0.005_w250 - current,interval_score,selection,0.0005538088808890729,476,True,-0.0002015302962662029,0.0013669132576718342,contiguous_20
sk_hynix,1,1,aci_g0.005_w250 - current,interval_coverage,selection,-0.01680672268907557,476,True,-0.032124997296303526,-0.002082902892561977,month
sk_hynix,1,1,aci_g0.005_w500 - current,interval_score,selection,0.00024189606318562418,476,True,-0.00020731204122916735,0.0007246769458050274,month
sk_hynix,1,1,aci_g0.005_w500 - current,interval_score,selection,0.00024189606318562418,476,True,-0.00020403414054885353,0.0006855730579545952,contiguous_20
sk_hynix,1,1,aci_g0.005_w500 - current,interval_coverage,selection,-0.014705882352941124,476,True,-0.026788949275362225,-0.0021007302291985892,month
sk_hynix,1,1,aci_g0.02_w250 - current,interval_score,selection,0.0011675361549398579,476,True,0.0002785375816142194,0.0020921358765029047,month
sk_hynix,1,1,aci_g0.02_w250 - current,interval_score,selection,0.0011675361549398579,476,True,0.00049723924083809,0.0020727105366101853,contiguous_20
sk_hynix,1,1,aci_g0.02_w250 - current,interval_coverage,selection,-0.012605042016806678,476,True,-0.03219220097975472,0.006452309621681889,month
sk_hynix,1,1,aci_g0.02_w500 - current,interval_score,selection,0.0007998443302189682,476,True,-4.303584512660638e-06,0.0016351263525510508,month
sk_hynix,1,1,aci_g0.02_w500 - current,interval_score,selection,0.0007998443302189682,476,True,7.17667650316893e-05,0.0015519695520503105,contiguous_20
sk_hynix,1,1,aci_g0.02_w500 - current,interval_coverage,selection,-0.012605042016806678,476,True,-0.030503868213952214,0.006111551130220488,month
sk_hynix,1,1,sigma_har - current,interval_score,selection,0.0006043627146965074,476,True,-0.0011805602097368488,0.002352986958380489,month
sk_hynix,1,1,sigma_har - current,interval_score,selection,0.0006043627146965074,476,True,-0.0012525170785166982,0.002909073003990917,contiguous_20
sk_hynix,1,1,sigma_har - current,interval_coverage,selection,-0.025210084033613467,476,True,-0.05412139603316074,0.0,month
sk_hynix,1,1,trailing_q_w250 - current,interval_score,evaluation,0.0008548132328857436,477,True,-0.0004394343285487788,0.0024236046018390857,month
sk_hynix,1,1,trailing_q_w250 - current,interval_score,evaluation,0.0008548132328857436,477,True,-0.0004443948675403486,0.0022109596093755927,contiguous_20
sk_hynix,1,1,trailing_q_w250 - current,interval_coverage,evaluation,-0.010482180293501009,477,True,-0.020317176184590793,0.0,month
sk_hynix,1,1,conformal_w250 - current,interval_score,evaluation,0.0009305256290329057,477,True,-0.0003911731295424536,0.0026424285322704934,month
sk_hynix,1,1,conformal_w250 - current,interval_score,evaluation,0.0009305256290329057,477,True,-0.0003707787769475527,0.0023637844215752385,contiguous_20
sk_hynix,1,1,conformal_w250 - current,interval_coverage,evaluation,-0.008385744234800763,477,True,-0.018072970615493653,0.0,month
sk_hynix,1,1,trailing_q_w500 - current,interval_score,evaluation,-0.00023419737741664636,477,True,-0.0010488602227949014,0.0005488207395633426,month
sk_hynix,1,1,trailing_q_w500 - current,interval_score,evaluation,-0.00023419737741664636,477,True,-0.0010327644981856859,0.0005443583772398768,contiguous_20
sk_hynix,1,1,trailing_q_w500 - current,interval_coverage,evaluation,-0.018867924528301883,477,True,-0.028384611637156002,-0.009256610729722912,month
sk_hynix,1,1,conformal_w500 - current,interval_score,evaluation,-0.000253321828486873,477,True,-0.001000774795748103,0.00045816908005108135,month
sk_hynix,1,1,conformal_w500 - current,interval_score,evaluation,-0.000253321828486873,477,True,-0.0009968595757552632,0.0004578750735926422,contiguous_20
sk_hynix,1,1,conformal_w500 - current,interval_coverage,evaluation,-0.01467505241090139,477,True,-0.02339212392683837,-0.006147540983606592,month
sk_hynix,1,1,aci_g0.005_w250 - current,interval_score,evaluation,0.0019166828033731734,477,True,-0.00016417888184903765,0.004531945135091268,month
sk_hynix,1,1,aci_g0.005_w250 - current,interval_score,evaluation,0.0019166828033731734,477,True,-0.0003656836176677042,0.0043732798874137006,contiguous_20
sk_hynix,1,1,aci_g0.005_w250 - current,interval_coverage,evaluation,-0.0062893081761006275,477,True,-0.021869113546293412,0.008163682650974486,month
sk_hynix,1,1,aci_g0.005_w500 - current,interval_score,evaluation,0.0007459152639936046,477,True,-0.0005573992786131116,0.0022303356251935037,month
sk_hynix,1,1,aci_g0.005_w500 - current,interval_score,evaluation,0.0007459152639936046,477,True,-0.0007939867536198061,0.002433717881825635,contiguous_20
sk_hynix,1,1,aci_g0.005_w500 - current,interval_coverage,evaluation,-0.012578616352201255,477,True,-0.028747433264887046,0.0024080827902841205,month
sk_hynix,1,1,aci_g0.02_w250 - current,interval_score,evaluation,0.0020357836301033894,477,True,0.0004793261438739287,0.0035500429423433364,month
sk_hynix,1,1,aci_g0.02_w250 - current,interval_score,evaluation,0.0020357836301033894,477,True,0.0003496723529417321,0.004630159332985456,contiguous_20
sk_hynix,1,1,aci_g0.02_w250 - current,interval_coverage,evaluation,-0.002096436058700135,477,True,-0.023773155541360606,0.021189828701528603,month
sk_hynix,1,1,aci_g0.02_w500 - current,interval_score,evaluation,0.0013020990397960555,477,True,-0.0002783452869641463,0.0028291692980694574,month
sk_hynix,1,1,aci_g0.02_w500 - current,interval_score,evaluation,0.0013020990397960555,477,True,-0.00019472509171382195,0.0033684856799754653,contiguous_20
sk_hynix,1,1,aci_g0.02_w500 - current,interval_coverage,evaluation,-0.004192872117400381,477,True,-0.026726630738632687,0.020272678482963616,month
sk_hynix,1,1,sigma_har - current,interval_score,evaluation,0.006601685723119569,477,True,-0.0024855540594615547,0.017681537059860905,month
sk_hynix,1,1,sigma_har - current,interval_score,evaluation,0.006601685723119569,477,True,-0.001054668737859129,0.01477951270887164,contiguous_20
sk_hynix,1,1,sigma_har - current,interval_coverage,evaluation,-0.01467505241090139,477,True,-0.04174960674367156,0.011186309326752391,month
