target,cell,horizon,candidate,fold,evaluation_stage,n,interval_coverage,coverage_ci_lo,coverage_ci_hi,mean_halfwidth,interval_score,mean_q,start,end,score_delta,score_delta_ci_lo,score_delta_ci_hi,verdict
sk_hynix,open,1,conformal_w500,evaluation,evaluation,573,0.8167539267015707,0.7837837837837838,0.8510667258755841,0.031196352458447454,0.09052953294697708,1.050740298253942,2024-04-04,2026-09-09,-0.000653932472067523,-0.0020174833708777417,0.00029309998504423824,동률
sk_hynix,open,1,aci_g0.005_w250,evaluation,evaluation,573,0.806282722513089,0.7704626334519573,0.8432055749128919,0.031033621386833674,0.09092142347765583,1.030208341414412,2024-04-04,2026-09-09,-0.00026204194138875744,-0.001549144733449492,0.0008215630438878184,동률
sk_hynix,open,1,aci_g0.005_w500,evaluation,evaluation,573,0.8080279232111692,0.7729589934762349,0.8438061041292639,0.030150836841267053,0.09007266998112357,1.0142479918986373,2024-04-04,2026-09-09,-0.001110795437921031,-0.002863158659731204,0.00027733836701671966,동률
sk_hynix,open,1,aci_g0.02_w250,evaluation,evaluation,573,0.8045375218150087,0.7714751082665849,0.8383136554038875,0.03091198764677394,0.09077459771038182,1.034447986996559,2024-04-04,2026-09-09,-0.0004088677086627977,-0.0021036496350357804,0.0011130113593456816,동률
sk_hynix,open,1,aci_g0.02_w500,evaluation,evaluation,573,0.8045375218150087,0.7695130446431562,0.837841612562283,0.030614533741173643,0.09043087953339499,1.0236326459647926,2024-04-04,2026-09-09,-0.0007525858856496173,-0.002197302169739064,0.0005473594254997434,동률
sk_hynix,open,1,current,sequential_all,sequential_all,1145,0.8087336244541484,0.7827580828839817,0.8344920400201359,0.024453740902351362,0.07218487268476831,1.070260483320878,2021-11-11,2026-09-09,,,,
sk_hynix,open,1,trailing_q_w250,sequential_all,sequential_all,1145,0.8087336244541484,0.7811860016197206,0.8342059401252625,0.02388644052213062,0.072065541775151,1.0503669114684497,2021-11-11,2026-09-09,-0.00011933090961731415,-0.0007192125324616023,0.000368535973288218,동률
sk_hynix,open,1,conformal_w250,sequential_all,sequential_all,1145,0.8113537117903931,0.7832285283147923,0.8370307167235495,0.024115618621521617,0.07212015687937202,1.0599058960324539,2021-11-11,2026-09-09,-6.471580539629021e-05,-0.0005726933552314893,0.00035551275173359816,동률
sk_hynix,open,1,trailing_q_w500,sequential_all,sequential_all,1145,0.8069868995633188,0.7808930707614543,0.8321954969396677,0.023937929909811133,0.0718724322500273,1.06066918348882,2021-11-11,2026-09-09,-0.0003124404347409955,-0.00105037791547715,0.0001670612676236915,동률
sk_hynix,open,1,conformal_w500,sequential_all,sequential_all,1145,0.8069868995633188,0.7808930707614543,0.8321954969396677,0.0240395293852496,0.07192078022003592,1.06493227181032,2021-11-11,2026-09-09,-0.00026409246473239293,-0.0009866870329362089,0.00019995070944052204,동률
sk_hynix,open,1,aci_g0.005_w250,sequential_all,sequential_all,1145,0.8043668122270743,0.7759987889273356,0.8306751440602836,0.024059920023470915,0.07220421297030936,1.0601782930615096,2021-11-11,2026-09-09,1.9340285541058393e-05,-0.0006842020950347949,0.0006444604102919883,동률
sk_hynix,open,1,aci_g0.005_w500,sequential_all,sequential_all,1145,0.8069868995633188,0.7807242547227656,0.831913302497659,0.02364054931888469,0.07180017846452864,1.0533118608909482,2021-11-11,2026-09-09,-0.00038469422023967094,-0.0013416116130044668,0.0003320904943995066,동률
