target,horizon,candidate,fold,evaluation_stage,n,mae,note,mae_current_label,mae_calibrated,n_features,mean_train_rows,mean_slope,zero_mae,train_rows,slope
sk_hynix,20,current,dev_03,dev_fold,103,0.07713272390291158,,,,,,,0.06726388167579234,,0.6169760022710633
sk_hynix,20,current,dev_04,dev_fold,125,0.06595927170851501,,,,,,,0.06375576615002164,,0.0
sk_hynix,20,current,dev_05,dev_fold,123,0.10462848598637431,,,,,,,0.08911158888265804,,0.0
sk_hynix,20,current,dev_06,dev_fold,121,0.03790529900129343,,,,,,,0.04385537744870051,,0.04788191816357267
sk_hynix,20,current,dev_07,dev_fold,121,0.10150508680890909,,,,,,,0.1114745876447106,,0.16549521371268536
sk_hynix,20,current,dev_08,dev_fold,123,0.13184074494579653,,,,,,,0.12732353907204216,,0.31594250968481563
sk_hynix,20,current,dev_09,dev_fold,117,0.11761918201757675,,,,,,,0.1262139709282469,,1.0
sk_hynix,20,single,dev_all,dev_common,1081,0.08590755256551892,,,0.08634155825286202,15,1871.5555555555557,0.6389940425695861,,,
sk_hynix,20,single,dev_01,dev_fold,123,0.05984324656762034,,,,,,,0.05207685831512818,1390,1.0
sk_hynix,20,single,dev_02,dev_fold,125,0.08326876863845481,,,,,,,0.08533790241509934,1513,0.7509463831262754
sk_hynix,20,single,dev_03,dev_fold,103,0.07902600698234347,,,,,,,0.06679904311163123,1638,1.0
sk_hynix,20,single,dev_04,dev_fold,125,0.0690449422329384,,,,,,,0.06442027266794033,1743,0.0
sk_hynix,20,single,dev_05,dev_fold,123,0.0862208548549178,,,,,,,0.08950718618620604,1868,0.0
sk_hynix,20,single,dev_06,dev_fold,121,0.039449594300107,,,,,,,0.044399023268921665,1991,0.0
sk_hynix,20,single,dev_07,dev_fold,121,0.10144785896540089,,,,,,,0.11183716681448759,2112,1.0
sk_hynix,20,single,dev_08,dev_fold,123,0.1330061770455646,,,,,,,0.12757881690408593,2233,1.0
sk_hynix,20,single,dev_09,dev_fold,117,0.12233278332066087,,,,,,,0.12639532118455124,2356,1.0
sk_hynix,20,pooled,dev_all,dev_common,1081,0.08666502963768243,,,0.0872272089503528,15,16823.333333333332,0.5315220491674513,,,
sk_hynix,20,pooled,dev_01,dev_fold,123,0.06163737115106598,,,,,,,0.05207685831512818,12482,1.0
sk_hynix,20,pooled,dev_02,dev_fold,125,0.08544497795133056,,,,,,,0.08533790241509934,13589,0.49943665068803955
sk_hynix,20,pooled,dev_03,dev_fold,103,0.07618968295698934,,,,,,,0.06679904311163123,14714,1.0
sk_hynix,20,pooled,dev_04,dev_fold,125,0.07321373984580783,,,,,,,0.06442027266794033,15674,0.0
sk_hynix,20,pooled,dev_05,dev_fold,123,0.08745782795916361,,,,,,,0.08950718618620604,16799,0.0
sk_hynix,20,pooled,dev_06,dev_fold,121,0.04208932297310051,,,,,,,0.044399023268921665,17906,0.0
sk_hynix,20,pooled,dev_07,dev_fold,121,0.0973515023328534,,,,,,,0.11183716681448759,18987,0.28426179181902217
sk_hynix,20,pooled,dev_08,dev_fold,123,0.1338514141208693,,,,,,,0.12757881690408593,20076,1.0
sk_hynix,20,pooled,dev_09,dev_fold,117,0.12248074085193943,,,,,,,0.12639532118455124,21183,1.0
