target,horizon,candidate,fold,evaluation_stage,n,mae,rmse,mae_calibrated,mae_issued,issuance_rate,mean_abs_raw,mean_train_rows,mean_slope,seconds_per_fold,zero_mae,train_rows,slope,issued,setting
sk_hynix,5,inner_selected,dev_all,dev_common,1081,0.043285702795667576,0.05563864460808598,0.043178142623494974,0.043294533582814036,0.4444444444444444,0.005599424091376331,,,,,,,,
sk_hynix,5,inner_selected,dev_01,dev_fold,123,0.036729350370321476,,,,,,,,,0.03602202380212123,923,1.0,True,a10000_expanding
sk_hynix,5,inner_selected,dev_02,dev_fold,125,0.034443892241202444,,,,,,,,,0.03455672064383621,1046,0.6357481794430513,False,a10000_expanding
sk_hynix,5,inner_selected,dev_03,dev_fold,103,0.036469121922096774,,,,,,,,,0.03513953117989742,1171,0.8117617913504755,True,a10000_expanding
sk_hynix,5,inner_selected,dev_04,dev_fold,125,0.04111693470300623,,,,,,,,,0.04072752047081133,1274,0.0,False,a10000_expanding
sk_hynix,5,inner_selected,dev_05,dev_fold,123,0.04190096596144719,,,,,,,,,0.04106075934931817,1209,0.0,False,a10000_5y
sk_hynix,5,inner_selected,dev_06,dev_fold,121,0.034849117733485487,,,,,,,,,0.03497051420075539,1211,0.12190790982708524,False,a10000_5y
sk_hynix,5,inner_selected,dev_07,dev_fold,121,0.04323906096984038,,,,,,,,,0.04455269754891238,1209,0.589085122550395,False,a10000_5y
sk_hynix,5,inner_selected,dev_08,dev_fold,123,0.06214835153855573,,,,,,,,,0.06334412995074624,1209,1.0,True,a10000_5y
sk_hynix,5,inner_selected,dev_09,dev_fold,117,0.05834167542702794,,,,,,,,,0.060828433791064576,1887,1.0,True,a10000_expanding
sk_hynix,20,hold_current,dev_all,dev_common,1081,0.08512272944238433,0.1103556052450599,,,,,,,,,,,,
sk_hynix,20,a100_5y,dev_all,dev_common,1081,0.1292411783122039,0.32622114021091747,0.08490673779889453,0.08490673779889453,0.4444444444444444,0.0850426185949607,1132.3333333333333,0.01313609009167949,0.011856233331652928,,,,,
sk_hynix,20,a100_5y,dev_01,dev_fold,123,0.11137769852780896,,,,,,,,,0.05207687834273718,893,0.0,False,a100_5y
sk_hynix,20,a100_5y,dev_02,dev_fold,125,0.11741007325899942,,,,,,,,,0.08424866237092567,1016,0.0,False,a100_5y
sk_hynix,20,a100_5y,dev_03,dev_fold,103,0.07127327765733237,,,,,,,,,0.06726388167579234,1141,0.0,False,a100_5y
sk_hynix,20,a100_5y,dev_04,dev_fold,125,0.07176632223177644,,,,,,,,,0.06375576615002164,1171,0.0,False,a100_5y
sk_hynix,20,a100_5y,dev_05,dev_fold,123,0.32219589274486704,,,,,,,,,0.08911158888265804,1194,0.0,False,a100_5y
sk_hynix,20,a100_5y,dev_06,dev_fold,121,0.07103602913221593,,,,,,,,,0.04385537744870051,1196,0.00917739200082933,True,a100_5y
sk_hynix,20,a100_5y,dev_07,dev_fold,121,0.10710490307761387,,,,,,,,,0.1114745876447106,1194,0.01166347351872646,True,a100_5y
sk_hynix,20,a100_5y,dev_08,dev_fold,123,0.16284550043526405,,,,,,,,,0.12732353907204216,1194,0.013835374369287032,True,a100_5y
sk_hynix,20,a100_5y,dev_09,dev_fold,117,0.11800782600832635,,,,,,,,,0.1262139709282469,1192,0.08354857093627259,True,a100_5y
sk_hynix,20,a100_expanding,dev_all,dev_common,1081,0.12896836758900598,0.3322309158873388,0.08507304473811744,0.08507304473811744,0.4444444444444444,0.08072245899326586,1373.2222222222222,0.012349724972133195,0.01136022222312426,,,,,
sk_hynix,20,a100_expanding,dev_01,dev_fold,123,0.11137769852780896,,,,,,,,,0.05207687834273718,893,0.0,False,a100_expanding
sk_hynix,20,a100_expanding,dev_02,dev_fold,125,0.11741007325899942,,,,,,,,,0.08424866237092567,1016,0.0,False,a100_expanding
sk_hynix,20,a100_expanding,dev_03,dev_fold,103,0.07127327765733237,,,,,,,,,0.06726388167579234,1141,0.0,False,a100_expanding
sk_hynix,20,a100_expanding,dev_04,dev_fold,125,0.061617821195001685,,,,,,,,,0.06375576615002164,1244,0.0,False,a100_expanding
sk_hynix,20,a100_expanding,dev_05,dev_fold,123,0.3362189064193422,,,,,,,,,0.08911158888265804,1369,0.0,False,a100_expanding
sk_hynix,20,a100_expanding,dev_06,dev_fold,121,0.05018487635914982,,,,,,,,,0.04385537744870051,1492,0.011019831852534117,True,a100_expanding
sk_hynix,20,a100_expanding,dev_07,dev_fold,121,0.10398178056704689,,,,,,,,,0.1114745876447106,1613,0.012410796521076519,True,a100_expanding
sk_hynix,20,a100_expanding,dev_08,dev_fold,123,0.16769704597888854,,,,,,,,,0.12732353907204216,1734,0.013200622274841737,True,a100_expanding
sk_hynix,20,a100_expanding,dev_09,dev_fold,117,0.13128108039561853,,,,,,,,,0.1262139709282469,1857,0.07451627410074639,True,a100_expanding
sk_hynix,20,a1000_5y,dev_all,dev_common,1081,0.10054733106802512,0.18274128548214025,0.08484521322216991,0.08484521322216991,0.5555555555555556,0.04316342398717152,1132.3333333333333,0.030245660104920233,0.011942144446139637,,,,,
sk_hynix,20,a1000_5y,dev_01,dev_fold,123,0.07984207022239469,,,,,,,,,0.05207687834273718,893,0.046684694089626826,True,a1000_5y
sk_hynix,20,a1000_5y,dev_02,dev_fold,125,0.10257348049738009,,,,,,,,,0.08424866237092567,1016,0.0,False,a1000_5y
sk_hynix,20,a1000_5y,dev_03,dev_fold,103,0.06731099639692203,,,,,,,,,0.06726388167579234,1141,0.0,False,a1000_5y
sk_hynix,20,a1000_5y,dev_04,dev_fold,125,0.059869996692236326,,,,,,,,,0.06375576615002164,1171,0.0,False,a1000_5y
sk_hynix,20,a1000_5y,dev_05,dev_fold,123,0.18631639234746425,,,,,,,,,0.08911158888265804,1194,0.0,False,a1000_5y
sk_hynix,20,a1000_5y,dev_06,dev_fold,121,0.043836136743256725,,,,,,,,,0.04385537744870051,1196,0.02143878561226645,True,a1000_5y
sk_hynix,20,a1000_5y,dev_07,dev_fold,121,0.11147789995971413,,,,,,,,,0.1114745876447106,1194,0.027693139325311575,True,a1000_5y
sk_hynix,20,a1000_5y,dev_08,dev_fold,123,0.13936253587897623,,,,,,,,,0.12732353907204216,1194,0.027255276620067236,True,a1000_5y
sk_hynix,20,a1000_5y,dev_09,dev_fold,117,0.10924031074088839,,,,,,,,,0.1262139709282469,1192,0.14913904529701003,True,a1000_5y
sk_hynix,20,a1000_expanding,dev_all,dev_common,1081,0.10180216933600074,0.1966090058971863,0.08473417375576282,0.08473417375576282,0.5555555555555556,0.044703078491925875,1373.2222222222222,0.0498911307054416,0.011271233334102564,,,,,
sk_hynix,20,a1000_expanding,dev_01,dev_fold,123,0.07984207022239469,,,,,,,,,0.05207687834273718,893,0.046684694089626826,True,a1000_expanding
sk_hynix,20,a1000_expanding,dev_02,dev_fold,125,0.10257348049738009,,,,,,,,,0.08424866237092567,1016,0.0,False,a1000_expanding
sk_hynix,20,a1000_expanding,dev_03,dev_fold,103,0.06731099639692203,,,,,,,,,0.06726388167579234,1141,0.0,False,a1000_expanding
sk_hynix,20,a1000_expanding,dev_04,dev_fold,125,0.05789127001479716,,,,,,,,,0.06375576615002164,1244,0.0,False,a1000_expanding
sk_hynix,20,a1000_expanding,dev_05,dev_fold,123,0.19847987053473357,,,,,,,,,0.08911158888265804,1369,0.0,False,a1000_expanding
sk_hynix,20,a1000_expanding,dev_06,dev_fold,121,0.04139997520405922,,,,,,,,,0.04385537744870051,1492,0.021115759863798753,True,a1000_expanding
sk_hynix,20,a1000_expanding,dev_07,dev_fold,121,0.10600262878241616,,,,,,,,,0.1114745876447106,1613,0.02495921137171187,True,a1000_expanding
sk_hynix,20,a1000_expanding,dev_08,dev_fold,123,0.1394467708434457,,,,,,,,,0.12732353907204216,1734,0.026425386535077693,True,a1000_expanding
sk_hynix,20,a1000_expanding,dev_09,dev_fold,117,0.11825429059895336,,,,,,,,,0.1262139709282469,1857,0.3298351244887593,True,a1000_expanding
sk_hynix,20,a10000_5y,dev_all,dev_common,1081,0.08769780589789959,0.11258478413602727,0.0856789015350426,0.08510077387965446,0.4444444444444444,0.02086375212635839,1132.3333333333333,0.342552084369359,0.011986933336528536,,,,,
sk_hynix,20,a10000_5y,dev_01,dev_fold,123,0.06636997241284588,,,,,,,,,0.05207687834273718,893,0.6613162750316132,True,a10000_5y
sk_hynix,20,a10000_5y,dev_02,dev_fold,125,0.08712663947262608,,,,,,,,,0.08424866237092567,1016,0.2406910000984064,False,a10000_5y
sk_hynix,20,a10000_5y,dev_03,dev_fold,103,0.07713272390291158,,,,,,,,,0.06726388167579234,1141,0.6169760022710633,False,a10000_5y
sk_hynix,20,a10000_5y,dev_04,dev_fold,125,0.06453047786339793,,,,,,,,,0.06375576615002164,1171,0.0,False,a10000_5y
sk_hynix,20,a10000_5y,dev_05,dev_fold,123,0.10211430040443344,,,,,,,,,0.08911158888265804,1194,0.0,False,a10000_5y
sk_hynix,20,a10000_5y,dev_06,dev_fold,121,0.03824206504452072,,,,,,,,,0.04385537744870051,1196,0.030765987001067086,False,a10000_5y
sk_hynix,20,a10000_5y,dev_07,dev_fold,121,0.10315704310006184,,,,,,,,,0.1114745876447106,1194,0.186939290003491,True,a10000_5y
sk_hynix,20,a10000_5y,dev_08,dev_fold,123,0.13232119992814192,,,,,,,,,0.12732353907204216,1194,0.3462802049185901,True,a10000_5y
sk_hynix,20,a10000_5y,dev_09,dev_fold,117,0.11787310011491677,,,,,,,,,0.1262139709282469,1192,1.0,True,a10000_5y
sk_hynix,20,a10000_expanding,dev_all,dev_common,1081,0.08784434084197093,0.11362619837608212,0.08558046754800647,0.08503007686140424,0.4444444444444444,0.023791182991151075,1373.2222222222222,0.3387003243291285,0.011326600000352805,,,,,
sk_hynix,20,a10000_expanding,dev_01,dev_fold,123,0.06636997241284588,,,,,,,,,0.05207687834273718,893,0.6613162750316132,True,a10000_expanding
sk_hynix,20,a10000_expanding,dev_02,dev_fold,125,0.08712663947262608,,,,,,,,,0.08424866237092567,1016,0.2406910000984064,False,a10000_expanding
sk_hynix,20,a10000_expanding,dev_03,dev_fold,103,0.07713272390291158,,,,,,,,,0.06726388167579234,1141,0.6169760022710633,False,a10000_expanding
sk_hynix,20,a10000_expanding,dev_04,dev_fold,125,0.06595927170851501,,,,,,,,,0.06375576615002164,1244,0.0,False,a10000_expanding
sk_hynix,20,a10000_expanding,dev_05,dev_fold,123,0.10462848598637431,,,,,,,,,0.08911158888265804,1369,0.0,False,a10000_expanding
sk_hynix,20,a10000_expanding,dev_06,dev_fold,121,0.03790529900129343,,,,,,,,,0.04385537744870051,1492,0.04788191816357267,False,a10000_expanding
sk_hynix,20,a10000_expanding,dev_07,dev_fold,121,0.10150508680890909,,,,,,,,,0.1114745876447106,1613,0.16549521371268536,True,a10000_expanding
sk_hynix,20,a10000_expanding,dev_08,dev_fold,123,0.13184074494579653,,,,,,,,,0.12732353907204216,1734,0.31594250968481563,True,a10000_expanding
sk_hynix,20,a10000_expanding,dev_09,dev_fold,117,0.11761918201757675,,,,,,,,,0.1262139709282469,1857,1.0,True,a10000_expanding
sk_hynix,20,inner_selected,dev_all,dev_common,1081,0.09880035533293915,0.19436897849794457,0.08565141918778192,0.0850732915323938,0.4444444444444444,0.03463766403764416,,,,,,,,
sk_hynix,20,inner_selected,dev_01,dev_fold,123,0.06636997241284588,,,,,,,,,0.05207687834273718,893,0.6613162750316132,True,a10000_expanding
sk_hynix,20,inner_selected,dev_02,dev_fold,125,0.08712663947262608,,,,,,,,,0.08424866237092567,1016,0.2406910000984064,False,a10000_expanding
sk_hynix,20,inner_selected,dev_03,dev_fold,103,0.07713272390291158,,,,,,,,,0.06726388167579234,1141,0.6169760022710633,False,a10000_expanding
sk_hynix,20,inner_selected,dev_04,dev_fold,125,0.06595927170851501,,,,,,,,,0.06375576615002164,1244,0.0,False,a10000_expanding
sk_hynix,20,inner_selected,dev_05,dev_fold,123,0.19847987053473357,,,,,,,,,0.08911158888265804,1369,0.0,False,a1000_expanding
sk_hynix,20,inner_selected,dev_06,dev_fold,121,0.03824206504452072,,,,,,,,,0.04385537744870051,1196,0.030765987001067086,False,a10000_5y
sk_hynix,20,inner_selected,dev_07,dev_fold,121,0.10315704310006184,,,,,,,,,0.1114745876447106,1194,0.186939290003491,True,a10000_5y
sk_hynix,20,inner_selected,dev_08,dev_fold,123,0.13232119992814192,,,,,,,,,0.12732353907204216,1194,0.3462802049185901,True,a10000_5y
sk_hynix,20,inner_selected,dev_09,dev_fold,117,0.11761918201757675,,,,,,,,,0.1262139709282469,1857,1.0,True,a10000_expanding
