target,horizon,candidate,fold,evaluation_stage,n,mae,rmse,mae_calibrated,n_features,mean_slope,zero_mae
samsung,5,no_macro,dev_05,dev_fold,123,0.023081273990106,,,,,0.021565951031904906
samsung,5,no_macro,dev_06,dev_fold,121,0.02184671550364118,,,,,0.022377420750356043
samsung,5,no_macro,dev_07,dev_fold,121,0.02609614324782615,,,,,0.026629143562935085
samsung,5,no_macro,dev_08,dev_fold,123,0.04389098241641842,,,,,0.04194117180688839
samsung,5,no_macro,dev_09,dev_fold,117,0.03558152494583419,,,,,0.03560835457832171
samsung,5,full_plus_A,dev_all,dev_common,1086,0.026972186513326356,0.035127715070796435,0.026609081247526704,104,0.27659044568092006,
samsung,5,full_plus_A,dev_01,dev_fold,123,0.021368705787946436,,,,,0.020425511239914422
samsung,5,full_plus_A,dev_02,dev_fold,125,0.023220719521977726,,,,,0.02317588207769075
samsung,5,full_plus_A,dev_03,dev_fold,108,0.024783920050343314,,,,,0.023558580820918305
samsung,5,full_plus_A,dev_04,dev_fold,125,0.023342509835225556,,,,,0.02345902434870286
samsung,5,full_plus_A,dev_05,dev_fold,123,0.02281442703966494,,,,,0.021565951031904906
samsung,5,full_plus_A,dev_06,dev_fold,121,0.02221629984707448,,,,,0.022377420750356043
samsung,5,full_plus_A,dev_07,dev_fold,121,0.0261335647775036,,,,,0.026629143562935085
samsung,5,full_plus_A,dev_08,dev_fold,123,0.043498951267236324,,,,,0.04194117180688839
samsung,5,full_plus_A,dev_09,dev_fold,117,0.035551261155083086,,,,,0.03560835457832171
samsung,5,inner_selected,dev_all,dev_common,1086,0.026941466983892888,0.035169312214866355,0.026752220552813975,,,
samsung,5,inner_selected,dev_01,dev_fold,123,0.0213421291995605,,,,,0.020425511239914422
samsung,5,inner_selected,dev_02,dev_fold,125,0.02317390507980458,,,,,0.02317588207769075
samsung,5,inner_selected,dev_03,dev_fold,108,0.024928494751647285,,,,,0.023558580820918305
samsung,5,inner_selected,dev_04,dev_fold,125,0.02321204561532523,,,,,0.02345902434870286
samsung,5,inner_selected,dev_05,dev_fold,123,0.02277206164770447,,,,,0.021565951031904906
samsung,5,inner_selected,dev_06,dev_fold,121,0.021925280783937632,,,,,0.022377420750356043
samsung,5,inner_selected,dev_07,dev_fold,121,0.02648644641816123,,,,,0.026629143562935085
