target,cell,horizon,candidate,fold,evaluation_stage,n,interval_coverage,coverage_ci_lo,coverage_ci_hi,mean_halfwidth,interval_score,mean_q,start,end,score_delta,score_delta_ci_lo,score_delta_ci_hi,verdict
samsung,1,1,conformal_w500,sequential_all,sequential_all,953,0.8121720881427072,0.7857849891225526,0.8387456362897279,0.02914083909737343,0.08380473580123554,1.2323039989017592,2022-09-19,2026-09-09,-0.00027634696782829853,-0.0007369477790135508,8.290357002684042e-05,동률
samsung,1,1,aci_g0.005_w250,sequential_all,sequential_all,953,0.8100734522560336,0.7826064335158124,0.8370677836299288,0.02977565422508422,0.08411730338684266,1.257866917514601,2022-09-19,2026-09-09,3.622061777881083e-05,-0.000861751119341355,0.000630221798919949,동률
samsung,1,1,aci_g0.005_w500,sequential_all,sequential_all,953,0.8079748163693599,0.7825629552549428,0.8349108707626058,0.029284135947171736,0.08388991999525566,1.2349791912232368,2022-09-19,2026-09-09,-0.00019116277380817307,-0.0009082199444257039,0.0003100300116008031,동률
samsung,1,1,aci_g0.02_w250,sequential_all,sequential_all,953,0.8069254984260231,0.7795098493546736,0.8336951898385706,0.029236096672657027,0.08423290408368726,1.2413852429555958,2022-09-19,2026-09-09,0.00015182131462341132,-0.0013359074198091396,0.0011471267022504354,동률
samsung,1,1,aci_g0.02_w500,sequential_all,sequential_all,953,0.8069254984260231,0.7791089592012912,0.836170911946303,0.029090456055554013,0.08399146304161152,1.2361273511371151,2022-09-19,2026-09-09,-8.961972745233666e-05,-0.0015809170061601174,0.0009163800953423259,동률
samsung,1,1,sigma_har,sequential_all,sequential_all,953,0.6768100734522561,0.6343956084993936,0.721350277522661,0.01904155305058341,0.0921083943958827,4.54380840440858,2022-09-19,2026-09-09,0.008027311626818853,0.0018061535431047684,0.01447442449635991,점수 열위
samsung,1,1,current,2022H2,halfyear,72,0.8055555555555556,,,0.021193686933044797,0.056520744738863864,,,,,,,
samsung,1,1,current,2023H1,halfyear,123,0.8373983739837398,,,0.0178956537654774,0.04908303849684837,,,,,,,
samsung,1,1,current,2023H2,halfyear,121,0.8512396694214877,,,0.01568755269997386,0.0451323791322659,,,,,,,
samsung,1,1,current,2024H1,halfyear,121,0.8099173553719008,,,0.020707940784525442,0.05843272619869885,,,,,,,
