target,cell,horizon,comparison,metric,window,delta,common_n,calibrated,ci_lo,ci_hi,block
samsung,1,1,conformal_w500 - current,interval_score,selection,2.221184233416858e-05,476,True,-0.00014262702030593563,0.0002626042679593724,contiguous_20
samsung,1,1,conformal_w500 - current,interval_coverage,selection,-0.004201680672268893,476,True,-0.010288065843621408,0.0,month
samsung,1,1,aci_g0.005_w250 - current,interval_score,selection,0.00015754242770323133,476,True,-0.00029117681793417463,0.0005716888397468801,month
samsung,1,1,aci_g0.005_w250 - current,interval_score,selection,0.00015754242770323133,476,True,-0.0002422824586652753,0.0006213765572515716,contiguous_20
samsung,1,1,aci_g0.005_w250 - current,interval_coverage,selection,-0.021008403361344463,476,True,-0.03933951444550399,-0.00426393962851801,month
samsung,1,1,aci_g0.005_w500 - current,interval_score,selection,2.7152756305129255e-05,476,True,-0.0003847148764698454,0.00040123745101482453,month
samsung,1,1,aci_g0.005_w500 - current,interval_score,selection,2.7152756305129255e-05,476,True,-0.0002699001834301704,0.00040342832679667257,contiguous_20
samsung,1,1,aci_g0.005_w500 - current,interval_coverage,selection,-0.014705882352941124,476,True,-0.02742760992319426,-0.002109483033719793,month
samsung,1,1,aci_g0.02_w250 - current,interval_score,selection,0.0004607564164884894,476,True,-0.000230917348542173,0.0010423626660847384,month
samsung,1,1,aci_g0.02_w250 - current,interval_score,selection,0.0004607564164884894,476,True,-8.053096459666401e-05,0.0010070579854352974,contiguous_20
samsung,1,1,aci_g0.02_w250 - current,interval_coverage,selection,-0.021008403361344463,476,True,-0.04468323277230868,0.0,month
samsung,1,1,aci_g0.02_w500 - current,interval_score,selection,0.00040423913013314615,476,True,-0.0002773074332939473,0.0010168609183646609,month
samsung,1,1,aci_g0.02_w500 - current,interval_score,selection,0.00040423913013314615,476,True,-8.049206313599939e-05,0.0008977716506761259,contiguous_20
samsung,1,1,aci_g0.02_w500 - current,interval_coverage,selection,-0.018907563025210017,476,True,-0.04121924016654147,0.0020327277252364735,month
samsung,1,1,sigma_har - current,interval_score,selection,-0.0010144978601691731,476,True,-0.002164681020218124,1.9357854614639098e-05,month
samsung,1,1,sigma_har - current,interval_score,selection,-0.0010144978601691731,476,True,-0.0021081581026059296,0.0006000980782342176,contiguous_20
samsung,1,1,sigma_har - current,interval_coverage,selection,-0.054621848739495715,476,True,-0.08316441441441443,-0.027831348854548865,month
samsung,1,1,trailing_q_w250 - current,interval_score,evaluation,-0.00046795492576196446,477,True,-0.001523665866547109,0.0002710688981517619,month
samsung,1,1,trailing_q_w250 - current,interval_score,evaluation,-0.00046795492576196446,477,True,-0.001092188737693822,0.0003697214263924588,contiguous_20
samsung,1,1,trailing_q_w250 - current,interval_coverage,evaluation,-0.014675052410901501,477,True,-0.026786803135888406,-0.004273504273504258,month
samsung,1,1,conformal_w250 - current,interval_score,evaluation,-0.00017109876474234628,477,True,-0.0009800040374668409,0.0004280238496345783,month
samsung,1,1,conformal_w250 - current,interval_score,evaluation,-0.00017109876474234628,477,True,-0.000583153408102055,0.0005429073896711645,contiguous_20
samsung,1,1,conformal_w250 - current,interval_coverage,evaluation,-0.008385744234800874,477,True,-0.01911031738486819,0.0,month
samsung,1,1,trailing_q_w500 - current,interval_score,evaluation,-0.0006165156812666157,477,True,-0.0014668148209504928,6.957752681556407e-05,month
samsung,1,1,trailing_q_w500 - current,interval_score,evaluation,-0.0006165156812666157,477,True,-0.001214956189458321,0.00013945452111875173,contiguous_20
samsung,1,1,trailing_q_w500 - current,interval_coverage,evaluation,-0.023060796645702264,477,True,-0.03761061946902655,-0.010593220338983023,month
samsung,1,1,conformal_w500 - current,interval_score,evaluation,-0.0005742798685354986,477,True,-0.0013943938368823432,8.309014741058543e-05,month
