target,target_mode,comparison,metric,delta,ci_low,ci_high,common_n,verdict
sk_hynix,close_to_close,t_evening_f2000 − t0700,balanced_accuracy,-0.1322070687206985,-0.1744176433702524,-0.08477527971938,394,후보가 유의하게 열위
sk_hynix,close_to_close,t_evening_f2000 − t0700,accuracy,-0.1269035532994924,-0.1760208759542937,-0.0729680556567349,394,후보가 유의하게 열위
sk_hynix,close_to_close,t_evening_f2000 − t0700,auc_gap,-0.3246585714686335,-0.3912236338540685,-0.262580487513404,394,후보가 유의하게 열위
sk_hynix,close_to_close,t_evening_f2000 − t0700,auc_session,0.0199989291068751,-0.0393487753084765,0.08957670976033,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2200 − t0700,log_loss,0.0984324892242698,0.0645251485720081,0.1338195193875407,394,후보가 유의하게 열위
sk_hynix,close_to_close,t_evening_f2200 − t0700,balanced_accuracy,-0.1072313346344909,-0.1560930042632365,-0.0504286798494388,394,후보가 유의하게 열위
sk_hynix,close_to_close,t_evening_f2200 − t0700,accuracy,-0.1015228426395939,-0.1565707550565032,-0.03485254691689,394,후보가 유의하게 열위
sk_hynix,close_to_close,t_evening_f2200 − t0700,auc_gap,-0.2959701618104826,-0.364049595431668,-0.2325874261526608,394,후보가 유의하게 열위
sk_hynix,close_to_close,t_evening_f2200 − t0700,auc_session,0.0208556436067681,-0.0406507399098237,0.0921558060720875,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening − t0700,log_loss,0.1013291860648462,0.0661093963016772,0.1383312289571345,394,후보가 유의하게 열위
sk_hynix,close_to_close,t_evening − t0700,balanced_accuracy,-0.1597431106039427,-0.215252157990398,-0.1060243200361788,394,후보가 유의하게 열위
sk_hynix,close_to_close,t_evening − t0700,accuracy,-0.1548223350253807,-0.2155986056698645,-0.0954989299090423,394,후보가 유의하게 열위
sk_hynix,close_to_close,t_evening − t0700,auc_gap,-0.3713788945287305,-0.4385461063894882,-0.3085618735269899,394,후보가 유의하게 열위
sk_hynix,close_to_close,t_evening − t0700,auc_session,0.0245769972156779,-0.0320966066563159,0.0915549065837888,394,동률(CI가 0 포함)
sk_hynix,close_to_close,nq_rule − t_evening,log_loss,-0.0053608174229684,-0.033610717167925,0.0218687256845903,394,동률(CI가 0 포함)
sk_hynix,close_to_close,nq_rule − t_evening,balanced_accuracy,0.035255587622876,-0.0162330615811885,0.0793543343112545,394,동률(CI가 0 포함)
sk_hynix,close_to_close,nq_rule − t_evening,accuracy,-0.048223350253807,-0.125008704735376,0.0282363526387418,394,동률(CI가 0 포함)
sk_hynix,close_to_close,nq_rule − t_evening,auc_gap,0.0411957710535909,-0.0034174959833284,0.0905477849972859,394,동률(CI가 0 포함)
sk_hynix,close_to_close,nq_rule − t_evening,auc_session,-0.0145775326622403,-0.0652451025497897,0.0335018646214465,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2000 − nq_rule,log_loss,0.0043991741131934,-0.0209909750202983,0.0301979211214785,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2000 − nq_rule,balanced_accuracy,-0.0077195457396318,-0.0441860559435623,0.0394700924155522,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2000 − nq_rule,accuracy,0.0761421319796953,0.0024812360268284,0.1544349569115186,394,후보가 유의하게 우위
sk_hynix,close_to_close,t_evening_f2000 − nq_rule,auc_gap,0.005524552006506,-0.0447762207777498,0.0501450291059095,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2000 − nq_rule,auc_session,0.0099994645534375,-0.0371028008400564,0.0560885074506749,394,동률(CI가 0 포함)
