month,value
2025-06-01,100.012
2025-07-01,100.0247
2025-08-01,100.048
2025-09-01,100.0811
2025-10-01,100.125
2025-11-01,100.1802
2025-12-01,100.2409
2026-01-01,100.2978
2026-02-01,100.3338
2026-03-01,100.3428
2026-04-01,100.3338
2026-05-01,100.3185
2026-06-01,100.3073
2026-07-01,100.3007
2026-08-01,100.2968
