date,value
2016-06-12,94.15
2016-06-13,91.73
2016-06-14,87.46
2016-06-15,85.2
2016-06-16,83.78
2016-06-17,84.58
2016-06-18,84.64
2016-06-19,83.49
2016-06-20,88.46
2016-06-21,91.36
2016-06-22,94.28
2016-06-23,96.2
2016-06-24,90.7
2016-06-25,89.77
2016-06-26,89.03
2016-06-27,86.87
2016-06-28,86.04
2016-06-29,86.58
2016-06-30,88.19
2016-07-01,95.97
2016-07-02,97.58
2016-07-03,99.66
2016-07-04,103.04
2016-07-05,103.34
2016-07-06,99.45
2016-07-07,100.76
2016-07-08,97.62
2016-07-09,97.65
2016-07-10,97.55
2016-07-11,96.53
2016-07-12,100.06
2016-07-13,105.64
2016-07-14,102.87
2016-07-15,104.79
2016-07-16,104.33
2016-07-17,105.93
2016-07-18,106.1
2016-07-19,103.96
2016-07-20,101.74
2016-07-21,105.87
2016-07-22,105.26
2016-07-23,105.53
2016-07-24,105.21
2016-07-25,106.45
2016-07-26,107.97
2016-07-27,111.07
2016-07-28,110.46
2016-07-29,112.36
2016-07-30,112.47
2016-07-31,112.86
2016-08-01,110.93
2016-08-02,109.07
2016-08-03,104.06
2016-08-04,101.9
2016-08-05,99.39
2016-08-06,99.49
2016-08-07,97.59
2016-08-08,99.09
2016-08-09,99.66
2016-08-10,101.7
2016-08-11,101.13
2016-08-12,102.84
2016-08-13,102.57
2016-08-14,103.82
2016-08-15,102.45
2016-08-16,103.08
2016-08-17,103.42
2016-08-18,105.97
2016-08-19,104.73
2016-08-20,104.45
2016-08-21,104.65
2016-08-22,103.64
2016-08-23,103.01
2016-08-24,103.89
2016-08-25,97.44
2016-08-26,94.54
2016-08-27,94.63
2016-08-28,94.24
2016-08-29,93.8
2016-08-30,92.13
2016-08-31,88.16
2016-09-01,89.69
2016-09-02,90.38
2016-09-03,90.31
2016-09-04,89.52
2016-09-05,89.89
2016-09-06,90.57
2016-09-07,91.97
2016-09-08,93.84
2016-09-09,92.22
2016-09-10,92.11
2016-09-11,92.33
2016-09-12,87.83
2016-09-13,87.07
2016-09-14,85.92
2016-09-15,82.33
2016-09-16,82.66
2016-09-17,82.74
2016-09-18,83.25
2016-09-19,93.06
2016-09-20,94.34
2016-09-21,95.28
2016-09-22,97.35
2016-09-23,98.29
2016-09-24,98.4
2016-09-25,98.31
2016-09-26,95.45
2016-09-27,95.67
2016-09-28,93.28
2016-09-29,92.86
2016-09-30,90.08
2016-10-01,90.1
2016-10-02,90.07
2016-10-03,89.86
2016-10-04,86.47
2016-10-05,88.14
2016-10-06,88.28
2016-10-07,91.66
2016-10-08,91.76
2016-10-09,91.37
2016-10-10,91.18
2016-10-11,91.81
2016-10-12,88.39
2016-10-13,84.42
2016-10-14,82.24
2016-10-15,82.36
2016-10-16,82.38
2016-10-17,83.45
2016-10-18,85.39
2016-10-19,91.45
2016-10-20,96.56
2016-10-21,97.79
2016-10-22,97.84
2016-10-23,98.13
2016-10-24,99.5
2016-10-25,100.21
2016-10-26,96.62
2016-10-27,96.78
2016-10-28,97.64
2016-10-29,97.67
2016-10-30,97.71
2016-10-31,95.62
2016-11-01,94.08
2016-11-02,92.0
2016-11-03,91.43
2016-11-04,88.73
2016-11-05,88.67
2016-11-06,87.83
2016-11-07,90.63
2016-11-08,93.56
2016-11-09,93.44
2016-11-10,93.86
2016-11-11,96.14
2016-11-12,96.42
2016-11-13,97.83
2016-11-14,99.74
2016-11-15,97.98
2016-11-16,104.2
2016-11-17,102.01
2016-11-18,100.77
2016-11-19,100.29
2016-11-20,99.69
2016-11-21,95.24
2016-11-22,96.75
2016-11-23,94.98
2016-11-24,92.58
2016-11-25,92.14
2016-11-26,92.57
2016-11-27,92.03
2016-11-28,92.81
2016-11-29,91.21
2016-11-30,90.46
2016-12-01,94.31
2016-12-02,94.02
2016-12-03,93.91
2016-12-04,94.81
2016-12-05,93.95
2016-12-06,95.08
2016-12-07,95.75
2016-12-08,96.55
2016-12-09,98.15
2016-12-10,98.41
2016-12-11,98.1
2016-12-12,100.97
2016-12-13,99.86
2016-12-14,100.68
2016-12-15,96.27
2016-12-16,96.83
2016-12-17,96.35
2016-12-18,96.12
2016-12-19,95.51
2016-12-20,95.85
2016-12-21,96.68
2016-12-22,99.49
2016-12-23,97.98
2016-12-24,98.17
2016-12-25,98.75
2016-12-26,98.63
2016-12-27,96.74
2016-12-28,94.27
2016-12-29,92.64
2016-12-30,92.3
2016-12-31,92.02
2017-01-01,92.62
2017-01-02,92.63
2017-01-03,95.72
2017-01-04,98.45
2017-01-05,101.29
2017-01-06,105.22
2017-01-07,105.91
2017-01-08,104.92
2017-01-09,106.2
2017-01-10,104.11
2017-01-11,102.04
2017-01-12,101.19
2017-01-13,95.66
2017-01-14,95.57
2017-01-15,95.2
2017-01-16,91.66
2017-01-17,91.98
2017-01-18,91.23
2017-01-19,92.3
2017-01-20,94.97
2017-01-21,94.93
2017-01-22,96.07
2017-01-23,99.12
2017-01-24,102.87
2017-01-25,107.12
2017-01-26,111.86
2017-01-27,112.88
2017-01-28,112.58
2017-01-29,113.73
2017-01-30,114.73
2017-01-31,109.71
2017-02-01,108.23
2017-02-02,102.49
2017-02-03,102.76
2017-02-04,103.05
2017-02-05,102.2
2017-02-06,103.62
2017-02-07,104.74
2017-02-08,104.87
2017-02-09,106.59
2017-02-10,109.63
2017-02-11,109.89
2017-02-12,109.74
2017-02-13,109.2
2017-02-14,110.31
2017-02-15,108.94
2017-02-16,107.16
2017-02-17,100.82
2017-02-18,100.22
2017-02-19,100.51
2017-02-20,99.66
2017-02-21,99.27
2017-02-22,100.38
2017-02-23,99.04
2017-02-24,100.75
2017-02-25,100.91
2017-02-26,100.82
2017-02-27,101.14
2017-02-28,100.66
2017-03-01,98.94
2017-03-02,99.63
2017-03-03,96.25
2017-03-04,95.92
2017-03-05,96.26
2017-03-06,93.98
2017-03-07,93.07
2017-03-08,93.02
2017-03-09,92.99
2017-03-10,97.14
2017-03-11,98.22
2017-03-12,98.32
2017-03-13,102.52
2017-03-14,105.0
2017-03-15,104.57
2017-03-16,105.23
2017-03-17,106.24
2017-03-18,105.54
2017-03-19,105.38
2017-03-20,102.65
2017-03-21,102.82
2017-03-22,103.84
2017-03-23,100.98
2017-03-24,100.44
2017-03-25,100.16
2017-03-26,100.39
2017-03-27,100.21
2017-03-28,98.52
2017-03-29,99.43
2017-03-30,100.95
2017-03-31,103.39
2017-04-01,104.21
2017-04-02,104.49
2017-04-03,107.41
2017-04-04,104.97
2017-04-05,106.02
2017-04-06,105.11
2017-04-07,106.93
2017-04-08,106.49
2017-04-09,107.09
2017-04-10,104.7
2017-04-11,106.59
2017-04-12,104.61
2017-04-13,106.83
2017-04-14,102.14
2017-04-15,101.81
2017-04-16,100.55
2017-04-17,102.12
2017-04-18,104.21
2017-04-19,106.28
2017-04-20,107.34
2017-04-21,111.27
2017-04-22,111.56
2017-04-23,112.83
2017-04-24,113.76
2017-04-25,118.24
2017-04-26,124.0
2017-04-27,127.64
2017-04-28,128.58
2017-04-29,129.11
2017-04-30,128.78
2017-05-01,129.62
2017-05-02,125.7
2017-05-03,120.39
2017-05-04,118.41
2017-05-05,114.05
2017-05-06,114.37
2017-05-07,114.83
2017-05-08,117.79
2017-05-09,117.9
2017-05-10,118.14
2017-05-11,116.71
2017-05-12,116.72
2017-05-13,116.06
2017-05-14,115.71
2017-05-15,115.44
2017-05-16,118.85
2017-05-17,117.51
2017-05-18,114.92
2017-05-19,114.73
2017-05-20,115.2
2017-05-21,115.14
2017-05-22,113.18
2017-05-23,110.45
2017-05-24,111.85
2017-05-25,113.56
2017-05-26,115.79
2017-05-27,115.6
2017-05-28,116.82
2017-05-29,115.74
2017-05-30,114.93
2017-05-31,114.34
2017-06-01,112.86
2017-06-02,112.79
2017-06-03,112.5
2017-06-04,111.58
2017-06-05,111.37
2017-06-06,108.88
2017-06-07,108.44
2017-06-08,110.07
2017-06-09,108.27
2017-06-10,108.13
2017-06-11,107.62
2017-06-12,106.46
2017-06-13,107.33
2017-06-14,107.18
2017-06-15,105.17
2017-06-16,102.61
2017-06-17,102.46
2017-06-18,102.5
2017-06-19,103.71
2017-06-20,104.36
2017-06-21,102.88
2017-06-22,101.82
2017-06-23,103.23
2017-06-24,103.38
2017-06-25,103.56
2017-06-26,104.73
2017-06-27,106.71
2017-06-28,106.85
2017-06-29,110.7
2017-06-30,109.62
2017-07-01,110.37
2017-07-02,110.53
2017-07-03,108.56
2017-07-04,105.95
2017-07-05,107.54
2017-07-06,105.52
2017-07-07,106.58
2017-07-08,106.55
2017-07-09,106.51
2017-07-10,106.76
2017-07-11,107.16
2017-07-12,105.76
2017-07-13,107.51
2017-07-14,108.35
2017-07-15,107.55
2017-07-16,106.65
2017-07-17,105.79
2017-07-18,104.56
2017-07-19,106.45
2017-07-20,108.68
2017-07-21,110.41
2017-07-22,110.33
2017-07-23,111.81
2017-07-24,114.27
2017-07-25,117.74
2017-07-26,118.37
2017-07-27,117.43
2017-07-28,114.14
2017-07-29,114.15
2017-07-30,114.24
2017-07-31,113.7
2017-08-01,114.32
2017-08-02,113.07
2017-08-03,106.92
2017-08-04,107.94
2017-08-05,108.48
2017-08-06,107.25
2017-08-07,106.91
2017-08-08,103.06
2017-08-09,100.44
2017-08-10,102.78
2017-08-11,100.06
2017-08-12,99.34
2017-08-13,98.67
2017-08-14,99.63
